/class/@label;/class/aliases/alias/@title
非流通股持股锁定承诺;
向战略投资者配售数量;
增长潜力;
分红比例;股利支付率
分红比例;分红比率
分红比例;紅利率
分红比例;股利占净利润比例
分红比例;
独立账户负债;
委托存款;
无形资产减值准备-商标权;
预测净资产收益率(roe)标准差;预测净资产收益率标准差
预测净资产收益率(roe)标准差;
单季度.固定资产折旧;单季度固定资产折旧
单季度.固定资产折旧;
对联营企业和合营企业的投资收益;
无形资产摊销;
递延收益-流动负债;
增发承销方式;
固定资产原价;
无形资产净额;
单季度.购建固定无形和长期资产支付的现金;单季度购建固定无形和长期资产支付的现金
单季度.购建固定无形和长期资产支付的现金;
前三名高管报酬总额;前三名高管年度报酬
前三名高管报酬总额;
单季度.投资所支付的现金;单季度投资所支付的现金
单季度.投资所支付的现金;
净资产收益率roe(加权,公布值);加权平均净资产收益率
净资产收益率roe(加权,公布值);加权净资产收益率
净资产收益率roe(加权,公布值);净资产加权收益率
净资产收益率roe(加权,公布值);平均净资产收益率
净资产收益率roe(加权,公布值);
单季度.净利润环比增长率;单季度净利润环比增长率
单季度.净利润环比增长率;单季度.净利润
单季度.净利润环比增长率;净利润环比增长率
单季度.净利润环比增长率;
计提的坏账准备或转销的坏账;计提坏账准备
计提的坏账准备或转销的坏账;
预测每股股利(dps)最小值;
预测营业利润标准差;
计提的贷款呆账准备或转销的坏账;
预案阶段复牌日;
流通股东每10股获得认沽权证数;
月振幅;振幅
月振幅;
员工总数;雇员人数
员工总数;人员总数
员工总数;公司职工
员工总数;员工人员
员工总数;员工人头数
员工总数;员工人数
员工总数;员工总人数
员工总数;员工数
员工总数;在职人数
员工总数;职员人数
员工总数;职工人数
员工总数;职工总人数
员工总数;
基本每股收益(同比增长率);eps增长率
基本每股收益(同比增长率);基本每股收益同比增长率
基本每股收益(同比增长率);每股净利润年同比增长率
基本每股收益(同比增长率);每股收益(eps)同比增长率
基本每股收益(同比增长率);每股收益增幅
基本每股收益(同比增长率);收益增长率
基本每股收益(同比增长率);每股收益(同比增长率)
基本每股收益(同比增长率);每股收益增长率
基本每股收益(同比增长率);每股收益eps-基本增长率
基本每股收益(同比增长率);每股净利润年增长率
基本每股收益(同比增长率);每股盈余增长率
基本每股收益(同比增长率);基本每股收益
基本每股收益(同比增长率);eps
基本每股收益(同比增长率);每股收益
基本每股收益(同比增长率);每股收益率
基本每股收益(同比增长率);每股盈余
基本每股收益(同比增长率);
每股营业收入(ttm);每股销售额sps(ttm)
每股营业收入(ttm);
信托公司持股比例;信托持股比例
信托公司持股比例;
正常-占比;
换手率;还手率
换手率;换收率
换手率;換手率
换手率;换手
换手率;换手率
换手率;
对价类型;
开发支出;
单季度.营业利润／营业总收入;单季度营业利润／营业总收入
单季度.营业利润／营业总收入;单季度.营业利润/营业总收入
单季度.营业利润／营业总收入;
单季度.以投资偿还债务;单季度以投资偿还债务
单季度.以投资偿还债务;
预测息税前利润(ebit)标准差;预测息税前利润标准差
预测息税前利润(ebit)标准差;
单季度.经营租赁所支付的现金;单季度经营租赁所支付的现金
单季度.经营租赁所支付的现金;
损失-金额;
流通股东每10股获得认购权证数;
经营范围;
其他转入;
总资产报酬率roa;资产报酬率
总资产报酬率roa;roa
总资产报酬率roa;总资产回报率
总资产报酬率roa;总资产报酬率
总资产报酬率roa;资产回报率
总资产报酬率roa;资产报酬率(roa)
总资产报酬率roa;
单季度.自营证券的减少(减增加);单季度自营证券的减少(减增加)
单季度.自营证券的减少(减增加);
月成交量;成交量
月成交量;
销售期间费用率;期间费用率
销售期间费用率;
每股股东自由现金流量;
保险合同准备金;
增持承诺;承诺增持
增持承诺;
近期创阶段新高;近期新高
近期创阶段新高;
主营业务支出;
净资产收益率roe-增发条件;
股东大会公告日;
单季度.短期贷款收回与发放净额;单季度短期贷款收回与发放净额
单季度.短期贷款收回与发放净额;
支付其他与经营活动有关的现金;支付的其他与经营活动有关的现金
支付其他与经营活动有关的现金;
单季度.经营活动现金流入小计;单季度经营活动现金流入小计
单季度.经营活动现金流入小计;
应解汇款;
总市值(证监会算法);
固定资产报废损失;
长期投资减值准备;
单季度.以固定资产偿还债务;单季度以固定资产偿还债务
单季度.以固定资产偿还债务;
单季度.筹资活动产生的现金流量净额;单季度筹资活动产生的现金流量净额
单季度.筹资活动产生的现金流量净额;
评级增持家数;评级增持
评级增持家数;
单季度.收到再保业务现金净额;单季度收到再保业务现金净额
单季度.收到再保业务现金净额;
单季度.买入返售证券到期返售收到的现金;单季度买入返售证券到期返售收到的现金
单季度.买入返售证券到期返售收到的现金;
发行债券所收到的现金;
收回投资收到的现金;
单季度.计提的贷款呆账准备或转销的坏账;单季度计提的贷款呆账准备或转销的坏账
单季度.计提的贷款呆账准备或转销的坏账;
贵金属;
短期投资;
净资产收益率roe(扣除／加权);净资产收益率roe(扣除/加权)
净资产收益率roe(扣除／加权);
发行公告日;
业绩快报.摊薄每股收益eps;业绩快报摊薄每股收益eps
业绩快报.摊薄每股收益eps;
业绩快报.基本每股收益eps;业绩快报基本每股收益eps
业绩快报.基本每股收益eps;业绩快报每股收益
业绩快报.基本每股收益eps;业绩快报.基本每股收益
业绩快报.基本每股收益eps;
业绩快报.加权净资产收益率roe;业绩快报加权净资产收益率roe
业绩快报.加权净资产收益率roe;业绩快报.加权净资产收益率
业绩快报.加权净资产收益率roe;净资产加权收益率
业绩快报.加权净资产收益率roe;
限售股份(境内自然人持股);
主营构成(按产品)-项目名称;
短期借款;
买入返售金融资产;
被动卖出特大单金额;
储蓄存款-平均余额;
待处理固定资产净损失;
权益性投资所支付的现金;
计提的存货跌价损失准备;
应收股利;
预测净资产收益率(roe)中值;预测净资产收益率中值
预测净资产收益率(roe)中值;
摊回分保费用;
固定资产减值准备-通讯设备;
销售费用(ttm);
首发发行结果公告日;
拆入资金的增加(减减少);
汇兑净收益;
综合收益总额;
提取保险合同准备金净额;
应交增值税-进项税额;
短期贷款;
存货跌价准备;
邮编;邮政编码
邮编;
主营业务收入;主营业务收入
主营业务收入;
每股配股数;
子公司吸收少数股东投资收到的现金;
赔付支出;
向网下增发日期;
少数股东权益;资产负债表.少数股东权益
少数股东权益;
单季度.退保金;单季度退保金
单季度.退保金;
营业外收支净额(ttm);
预测净资产收益率(roe)最大值;预测净资产收益率最大值
预测净资产收益率(roe)最大值;
核心资本充足率;
单季度.取得债券利息收入所收到的现金;单季度取得债券利息收入所收到的现金
单季度.取得债券利息收入所收到的现金;
单季度.支付的各项税费;单季度支付的各项税费
单季度.支付的各项税费;
一般风险准备;
经营活动净收益;
单季度.活期存款吸收与支付净额;单季度活期存款吸收与支付净额
单季度.活期存款吸收与支付净额;
应付工资;工资支出
应付工资;
单季度.子公司支付给少数股东的股利、利润;单季度子公司支付给少数股东的股利、利润
单季度.子公司支付给少数股东的股利、利润;
预告净利润变动幅度(%);预报净利润增长率
预告净利润变动幅度(%);预告净利润变动
预告净利润变动幅度(%);业绩预报
预告净利润变动幅度(%);预告业绩
预告净利润变动幅度(%);预告业绩增长率
预告净利润变动幅度(%);预告净利润变动幅度
预告净利润变动幅度(%);预告净利润增长率
预告净利润变动幅度(%);预报业绩
预告净利润变动幅度(%);业绩预告
预告净利润变动幅度(%);预告利润
预告净利润变动幅度(%);利润预测增长
预告净利润变动幅度(%);预告净利润
预告净利润变动幅度(%);利润
预告净利润变动幅度(%);净利润
预告净利润变动幅度(%);
预收账款;预算账款
预收账款;预收款
预收账款;预收
预收账款;预收帐款
预收账款;预收账款余额
预收账款;
交易状态;
单季度.取得投资收益所收到的现金;单季度取得投资收益所收到的现金
单季度.取得投资收益所收到的现金;
营业收入(n年,增长率);单季度.营业收入
营业收入(n年,增长率);营业收入n年增长率
营业收入(n年,增长率);
网下机构投资者有效申购户数;
投资损失;
应收利息;
评级机构家数;评级家数
评级机构家数;
单季度.营业外收入;单季度营业外收入
单季度.营业外收入;
营业外收支净额／利润总额(ttm);营业外收支净额/利润总额(ttm)
营业外收支净额／利润总额(ttm);
预测利润总额中值;
周最低价日;最低价日
周最低价日;
货币换算差额;
经营活动产生的现金流量净额／带息债务;经营活动产生的现金流量净额/带息债务
经营活动产生的现金流量净额／带息债务;
单季度.代理买卖证券业务净收入;单季度代理买卖证券业务净收入
单季度.代理买卖证券业务净收入;
股东权益(n年,增长率);股东权益(mrq)
股东权益(n年,增长率);净资产n年增长率
股东权益(n年,增长率);股东权益n年增长率
股东权益(n年,增长率);
应收账款周转天数;
应付债券;
高管年度报酬总额;高管的报酬
高管年度报酬总额;高管年度收入
高管年度报酬总额;高管年度薪酬
高管年度报酬总额;高管年收入
高管年度报酬总额;高管年薪
高管年度报酬总额;
单季度.资产减值损失;单季度资产减值损失
单季度.资产减值损失;
长期应收款;
单季度.货币资金的期末余额;单季度货币资金的期末余额
单季度.货币资金的期末余额;
盈余公积转入;
三年累计分红占比(再融资条件);分红占比
三年累计分红占比(再融资条件);3年累计分红占比
三年累计分红占比(再融资条件);三年累计分红占比
三年累计分红占比(再融资条件);
预测净资产收益率(roe)最小值;预测净资产收益率最小值
预测净资产收益率(roe)最小值;
投资支付的现金;
业绩快报.归属母公司股东的净利润;业绩快报归属母公司股东的净利润
业绩快报.归属母公司股东的净利润;
单季度.手续费收入收到的现金;单季度手续费收入收到的现金
单季度.手续费收入收到的现金;
优先股;
年成交量;成交量
年成交量;
对价支付股票上市日;
单季度.待摊费用的减少(减增加);单季度待摊费用的减少(减增加)
单季度.待摊费用的减少(减增加);
单季度.收到原保险合同保费取得的现金;单季度收到原保险合同保费取得的现金
单季度.收到原保险合同保费取得的现金;
审计结果说明;
网下募集资金;
限售股份(境外法人持股);
机构最近评级时间;
存货跌价准备-产成品;
应交增值税-进项税额转出;
债券投资净收益收到的现金;
年化波动率(最近24个月);
单季度.赔付支出;单季度赔付支出
单季度.赔付支出;
预测每股净资产(bps)平均值;预测每股净资产平均值
预测每股净资产(bps)平均值;
长期借款;
预测利润总额最小值;
历史peg值;市盈率除净利润增长率
历史peg值;市盈率相对盈利增长比率
历史peg值;peg
历史peg值;历史peg
历史peg值;市盈率与净利润增长率之商
历史peg值;市盈率除以净利润增长率
历史peg值;
缴款起始日;
垄断资源;
行业垄断;
单季度.证券发行差价收入;单季度证券发行差价收入
单季度.证券发行差价收入;
单季度.营业收入环比增长率;单季度营业收入环比增长率
单季度.营业收入环比增长率;单季度.营业收入
单季度.营业收入环比增长率;单季度.主营业务收入环比增长率
单季度.营业收入环比增长率;主营收入环比增长率
单季度.营业收入环比增长率;
单季度.现金等价物的期初余额;单季度现金等价物的期初余额
单季度.现金等价物的期初余额;单季度.现金及现金等价物变动明细.现金等价物的期初余额
单季度.现金等价物的期初余额;
经营活动产生的现金流量净额／负债合计;现金流量债务比
经营活动产生的现金流量净额／负债合计;经营活动产生的现金流量净额/负债合计
经营活动产生的现金流量净额／负债合计;
单季度.对联营企业和合营企业的投资收益;单季度对联营企业和合营企业的投资收益
单季度.对联营企业和合营企业的投资收益;
单季度.间接法-现金及现金等价物净增加额;单季度间接法-现金及现金等价物净增加额
单季度.间接法-现金及现金等价物净增加额;
每股净资产(相对年初增长率);每股净资产bps
每股净资产(相对年初增长率);
三板合计;
可分配利润;
月最高价日;最高价日
月最高价日;
预测营业利润最小值;
非流动负债／负债合计;非流动负债/负债合计
非流动负债／负债合计;
其他应收款原值;
周平均换手率;均换手率
周平均换手率;平均换手率
周平均换手率;换手率
周平均换手率;
单季度.经营活动产生的现金流量净额／营业收入;单季度经营活动产生的现金流量净额／营业收入
单季度.经营活动产生的现金流量净额／营业收入;单季度.经营活动产生的现金流量净额/营业收入
单季度.经营活动产生的现金流量净额／营业收入;
代理买卖证券业务净收入;
经营性应收项目的减少(减增加);
单季度.应付债券利息支出;单季度应付债券利息支出
单季度.应付债券利息支出;
同业存放款项;
流通股合计;流通规模
流通股合计;
市现率(pcf,经营现金流ttm);
流通股东持股股本性质;
公开发行日;
销售费用;
净利润／营业总收入;利润率
净利润／营业总收入;净利润/营业总收入
净利润／营业总收入;净利润率
净利润／营业总收入;
其他应收款净额;其它应收款净额
其他应收款净额;
募集法人股;
累计折旧;
每股息税前利润;每股息税前净利润
每股息税前利润;息税前利润ebit
每股息税前利润;
回购业务资金净增加额;
股票种类;
间接法-现金及现金等价物净增加额;
配股费用;
社保基金持股数量;社保基金持仓
社保基金持股数量;社保持股数量
社保基金持股数量;
股东户数;账户数
股东户数;股东总数
股东户数;股东数
股东户数;持股人数
股东户数;流通股东人数
股东户数;流通股东数量
股东户数;股东人数
股东户数;股东总户数
股东户数;股东户
股东户数;股东持股户数
股东户数;股东指标总数
股东户数;股东数量
股东户数;股票人数
股东户数;股东
股东户数;
固定资产减值准备合计;
经营活动净收益(n年,增长率);经营活动净收益
经营活动净收益(n年,增长率);经营活动净收益n年增长率
经营活动净收益(n年,增长率);
前三名董事报酬总额;
周涨跌幅;涨跌幅
周涨跌幅;
配股承销方式;配股的承销方式
配股承销方式;
上市地点;市场
上市地点;上市
上市地点;
预测息税前利润(ebit)最大值;预测息税前利润最大值
预测息税前利润(ebit)最大值;
其他业务收入;
预测主营业务收入标准差;
单季度.汇兑收益;单季度汇兑收益
单季度.汇兑收益;
预测每股现金流(cps)最大值;预测每股现金流最大值
预测每股现金流(cps)最大值;
其他固定资产(特殊及平衡项目);
前十大股东持股比例合计;十大股东持股比例
前十大股东持股比例合计;前十大股东总持股比例
前十大股东持股比例合计;十大股东合计持股
前十大股东持股比例合计;十大股东持股占总股本
前十大股东持股比例合计;10大股东持股比例
前十大股东持股比例合计;10大股东持股占总股本
前十大股东持股比例合计;10大股东合计持股
前十大股东持股比例合计;前10大股东总持股比例
前十大股东持股比例合计;
单季度.长期待摊费用摊销;单季度长期待摊费用摊销
单季度.长期待摊费用摊销;单季度.现金及现金等价物变动明细.长期待摊费用摊销
单季度.长期待摊费用摊销;
代理买卖证券款;
应交增值税-出口退税;
单季度.现金及现金等价物净增加额;单季度现金及现金等价物净增加额
单季度.现金及现金等价物净增加额;单季度.现金及现金等价物变动明细.现金及现金等价物净增加额
单季度.现金及现金等价物净增加额;单季度.现金流量表.现金及现金等价物净增加额
单季度.现金及现金等价物净增加额;
存货;库存
存货;库存列表
存货;
在建工程净额;
固定资产减值准备;
月涨跌幅;涨跌幅
月涨跌幅;
筹资活动现金流出小计;
以固定资产进行长期投资;
单季度.财务费用／营业总收入;单季度财务费用／营业总收入
单季度.财务费用／营业总收入;单季度.财务费用/营业总收入
单季度.财务费用／营业总收入;
单季度.发行债券所收到的现金;单季度发行债券所收到的现金
单季度.发行债券所收到的现金;
主动卖出特大单金额;
销售商品、提供劳务收到的现金;
经营活动产生之现金流量差额(合计平衡项目);
单季度.投资净收益;单季度投资净收益
单季度.投资净收益;
单季度.金融企业往来支出支付的现金;单季度金融企业往来支出支付的现金
单季度.金融企业往来支出支付的现金;
限售b股占总股本比例;
收回投资所收到的现金;
净资产收益率roe-扣除非经常损益;扣除非经常性损益后的净资产收益率
净资产收益率roe-扣除非经常损益;扣除非经常损益后的净资产收益率
净资产收益率roe-扣除非经常损益;
其他收入及损益(特殊及平衡项目);
期初现金及现金等价物余额;现金及现金等价物变动明细.现金等价物的期初余额
期初现金及现金等价物余额;
主营构成(按产品)-项目利润;
信托及委托贷款的减少(减增加);
信托及委托存款的增加(减减少);
单季度.已赚保费;单季度已赚保费
单季度.已赚保费;
每股净资产bps-最新股本摊薄;每股净资产bps(最新摊薄)
每股净资产bps-最新股本摊薄;摊薄每股净资产
每股净资产bps-最新股本摊薄;每股净资产(按最新总股本调整)
每股净资产bps-最新股本摊薄;每股净资产-最新股本摊薄
每股净资产bps-最新股本摊薄;
已归还投资;
一年内到期的长期债权投资;
单季度.投资支付的现金;单季度投资支付的现金
单季度.投资支付的现金;
递延税项贷项;
转配股;
营业利润／营业总收入;营业利润/营业总收入
营业利润／营业总收入;
内部往来;
可疑-金额;
一年内到期的非流动负债;
固定资产周转率;
预测息税前利润(ebit)中值;预测息税前利润中值
预测息税前利润(ebit)中值;
预测营业利润最大值;
a股市值(含限售股);
单季度.其他业务收入;单季度其他业务收入
单季度.其他业务收入;
上市后n日涨跌幅;
净资产收益率(n年,增长率);净资产收益率(roe)n年增长率
净资产收益率(n年,增长率);净资产收益率n年增长率
净资产收益率(n年,增长率);净资产收益率roe
净资产收益率(n年,增长率);
单季度.未确认的投资损失;单季度未确认的投资损失
单季度.未确认的投资损失;
首日上市数量;
网下申购有效股数;
每股股利(税后);税后每股红利
每股股利(税后);
应交税金;
单季度.净资产收益率roe;单季度净资产收益率roe
单季度.净资产收益率roe;单季度.净资产收益率(roe)
单季度.净资产收益率roe;单季度.净资产收益率
单季度.净资产收益率roe;
定期存款;
归属母公司股东的权益／全部投入资本;归属母公司股东的权益/全部投入资本
归属母公司股东的权益／全部投入资本;
归属母公司股东的净利润-扣除非经常损益(同比增长率);归属母公司股东的净利润-扣除非经常损益同比增长率
归属母公司股东的净利润-扣除非经常损益(同比增长率);扣除非经常性损益的净利润增长率
归属母公司股东的净利润-扣除非经常损益(同比增长率);扣非后净利润同比增长率
归属母公司股东的净利润-扣除非经常损益(同比增长率);扣除非经常性损益后的净利润增长率
归属母公司股东的净利润-扣除非经常损益(同比增长率);
户均持股比例季度增长率;户均持股比例
户均持股比例季度增长率;户均持股增长率
户均持股比例季度增长率;
销售商品提供劳务收到的现金／营业收入;销售商品提供劳务收到的现金/营业收入
销售商品提供劳务收到的现金／营业收入;
基金持有获配股余额;
筹资活动现金流入小计;
每股收益预测机构家数;
公司电子邮件地址;电邮
公司电子邮件地址;公司邮件地址
公司电子邮件地址;电子信箱
公司电子邮件地址;
n日日均涨跌幅;
所得税／利润总额;所得税/利润总额
所得税／利润总额;
年最低价日;最低价日
年最低价日;
预提费用;
单季度.营业总收入同比增长率;单季度营业总收入同比增长率
单季度.营业总收入同比增长率;单季度.营业总收入
单季度.营业总收入同比增长率;
公允价值变动净收益;公允价值变动收益
公允价值变动净收益;
涨跌;
可疑-占比;
单季度.发行债券收到的现金;单季度发行债券收到的现金
单季度.发行债券收到的现金;
营业总收入(同比增长率);营业总收入同比增长率
营业总收入(同比增长率);营业总收入
营业总收入(同比增长率);营业总收入增长率
营业总收入(同比增长率);
主营构成(按行业)-项目成本;
单季度.收到其他与投资活动有关的现金;单季度收到其他与投资活动有关的现金
单季度.收到其他与投资活动有关的现金;单季度.收到的其他与投资活动有关的现金
单季度.收到其他与投资活动有关的现金;
网络投票起始日;
经营活动净收益(ttm);
所有者权益合计;所有者权益
所有者权益合计;
固定资产净值;
营业支出;
单季度.客户贷款及垫款净增加额;单季度客户贷款及垫款净增加额
单季度.客户贷款及垫款净增加额;
年度累计分红总额;累计分红
年度累计分红总额;分红总额
年度累计分红总额;分红金额
年度累计分红总额;年度累计分红
年度累计分红总额;
审计意见类别;年报审计意见
审计意见类别;
长期健康险责任准备金;
年最低收盘价;最低收盘价
年最低收盘价;
区间涨跌;涨跌
区间涨跌;
投资活动产生的现金流量净额;投资活动产生的现金流量
投资活动产生的现金流量净额;投资活动产生的现金流量(元)
投资活动产生的现金流量净额;
现金的期初余额;
向其他公众投资者配售数量;
区间最高收盘价;最高收盘价
区间最高收盘价;
限售股份(外资持股合计);
一般法人股;
应付股利;股利分配
应付股利;
小单卖出金额;
股票简称;
机构投资评级(标准化得分);
被动买入中单金额;
首发发行费用;首次发行费用
首发发行费用;发行费用
首发发行费用;
预测每股收益最小值;
坏账准备;
保险公司持股数量;
n日成交量;
预测主营业务收入最小值;
单季度.收取利息和手续费净增加额;单季度收取利息和手续费净增加额
单季度.收取利息和手续费净增加额;
其他发行起始日期;
递延所得税负债增加;
存货跌价准备-开发产品;
预测peg值;预测peg
预测peg值;历史peg值
预测peg值;
招股公告日;
净利润(ttm);
未清偿可转债转股价格;
提取未到期责任准备金;提取保险责任准备金
提取未到期责任准备金;
营业收入;销售额
营业收入;主营业务收入净额
营业收入;主营业收入
营业收入;利润表.主营业务收入
营业收入;经营业绩
营业收入;营业收益
营业收入;营业额
营业收入;销售收人
营业收入;销售收入
营业收入;销售规模
营业收入;营收金额
营业收入;营收收入
营业收入;营业收
营业收入;主营收入
营业收入;收入
营业收入;营业收入
营业收入;营收
营业收入;
归属母公司股东的权益(n年,增长率);归属母公司股东的权益(mrq)
归属母公司股东的权益(n年,增长率);归属母公司股东的权益n年增长率
归属母公司股东的权益(n年,增长率);股东权益(n年
归属母公司股东的权益(n年,增长率);股东权益(n年,增长率)
归属母公司股东的权益(n年,增长率);
sharpe;
beta值(最近24个月);beta(最近24个月)
beta值(最近24个月);
年化总资产报酬率;
单季度.同业存放和系统内存放款项吸收与支付净额;
月换手率;换手率
月换手率;
单季度.管理费用;单季度管理费用
单季度.管理费用;
长期投资净额;
长期应付款;
预测总资产收益率(roa)平均值;预测总资产收益率平均值
预测总资产收益率(roa)平均值;
管理费用(ttm);
单季度.向中央银行借款净增加额;单季度向中央银行借款净增加额
单季度.向中央银行借款净增加额;
对价方案摘要;
坏帐准备-应收帐款;坏账准备-应收账款
坏帐准备-应收帐款;
营业利润(ttm);主营业务利润(ttm)
营业利润(ttm);
现金申购有效股数;
机构持股比例合计;机构持股比例
机构持股比例合计;机构参与度
机构持股比例合计;机构持股
机构持股比例合计;机构持股合计
机构持股比例合计;机构占比
机构持股比例合计;机构占流通股比例
机构持股比例合计;机构持仓占比
机构持股比例合计;机构持仓占流通股
机构持股比例合计;机构持有流通股比例
机构持股比例合计;机构持股比率
机构持股比例合计;机构持仓率
机构持股比例合计;控盘
机构持股比例合计;主力持仓量占流通a股
机构持股比例合计;
无形资产;无形资产-净额
无形资产;
每股营业总收入;营业总收入
每股营业总收入;
单季度.收回投资收到的现金;单季度收回投资收到的现金
单季度.收回投资收到的现金;
长期存款;
单季度.递延税款贷项(减借项);单季度递延税款贷项(减借项)
单季度.递延税款贷项(减借项);
预付账款;预付款
预付账款;
利润总额差额(特殊及平衡项目);
单季度.其他营业支出;单季度其他营业支出
单季度.其他营业支出;
年最低收盘价日;最低收盘价日
年最低收盘价日;
购买商品、接受劳务支付的现金;
主营产品名称;原材料
主营产品名称;主营产品
主营产品名称;产品
主营产品名称;
限售股合计占总股本比例;限售股比例
限售股合计占总股本比例;限售比例
限售股合计占总股本比例;
净营运资本;
营业税金及附加;营业税及附加
营业税金及附加;
一年内到期的长期负债;
beta值(最近60个月);beta(近60个月)
beta值(最近60个月);
老股东优先配售有效申购户数;
单季度.递延资产摊销;单季度递延资产摊销
单季度.递延资产摊销;
单季度.营业费用支付的现金;单季度营业费用支付的现金
单季度.营业费用支付的现金;
利润总额;税前利润
利润总额;总利润
利润总额;利润总额
利润总额;
摊回保险责任准备金;
财务费用明细-利息支出;
相对大盘n日涨跌幅;
单季度.投资损失;单季度现金流量表-投资损失
单季度.投资损失;单季度投资损失
单季度.投资损失;
财政返还;政府补助
财政返还;
应收转租赁款;
预测主营业务收入中值;
单季度.取得借款收到的现金;单季度取得借款收到的现金
单季度.取得借款收到的现金;
关注-占比;
对控股子公司担保发生额合计;为子公司提供担保余额
对控股子公司担保发生额合计;
机构预测净利润;预测净利润
机构预测净利润;
审计机构;
预测息税前利润(ebit)最小值;预测息税前利润最小值
预测息税前利润(ebit)最小值;
单季度.吸收权益性投资所收到的现金;单季度吸收权益性投资所收到的现金
单季度.吸收权益性投资所收到的现金;
提取企业发展基金;
单季度.补贴收入;单季度补贴收入
单季度.补贴收入;
客户备付金;
董事征集投票权截止日;
归属母公司股东的权益／负债合计;归属母公司股东的权益/负债合计
归属母公司股东的权益／负债合计;
租赁收益;
单季度.递延所得税负债增加;单季度递延所得税负债增加
单季度.递延所得税负债增加;
单季度.其他营业收入;单季度其他营业收入
单季度.其他营业收入;
增发除权日;
带息债务／全部投入资本;带息债务/全部投入资本
带息债务／全部投入资本;
主营构成(按行业)-项目利润;
证券发行差价收入;
无形资产减值准备-职工住房使用权;
单季度.购买商品接受劳务支付的现金;单季度购买商品接受劳务支付的现金
单季度.购买商品接受劳务支付的现金;
经营活动产生之现金流量净额;经营现金流量净额
经营活动产生之现金流量净额;
一般法人持股比例;
区间成交额;成交额
区间成交额;
每10股支付现金数(对价);
应收租赁款;
一年内到期的非流动资产;
存货净额;
提取法定盈余公积;
单季度.销售费用;单季度销售费用
单季度.销售费用;
单季度.同业拆入与同业拆出净额;单季度同业拆入与同业拆出净额
单季度.同业拆入与同业拆出净额;
单季度.金融企业往来支出;单季度金融企业往来支出
单季度.金融企业往来支出;
应收帐款-金额;
应交增值税-出口抵减内销产品应纳税额;
留存收益;
买入返售证券;
其他发行截止日期;
单季度.购建固定资产、无形资产和其他长期资产支付的现金;单季度购建固定资产、无形资产和其他长期资产支付的现金
单季度.购建固定资产、无形资产和其他长期资产支付的现金;
增发认购方式;
单季度.借款所收到的现金;单季度借款所收到的现金
单季度.借款所收到的现金;
扣除非经常性损益后的净利润;扣非后净利润
扣除非经常性损益后的净利润;净利润(扣除非经常性损益)
扣除非经常性损益后的净利润;利润表.扣除非经常性损益后的净利润
